GEOID,NAME,PIHP,CMHSP
26001,Alcona,NMRE,Northeast Michigan
26003,Alger,Northcare,Pathways
26005,Allegan,LRE,Allegan
26007,Alpena,NMRE,Northeast Michigan
26009,Antrim,NMRE,North Country
26011,Arenac,MSHN,Bay-Arenac
26013,Baraga,Northcare,Copper Country
26015,Barry,SWMBH,Barry
26017,Bay,MSHN,Bay-Arenac
26019,Benzie,NMRE,Manistee-Benzie
26021,Berrien,SWMBH,Berrien
26023,Branch,SWMBH,Pines
26025,Calhoun,SWMBH,Summit Pointe
26027,Cass,SWMBH,Woodlands
26029,Charlevoix,NMRE,North Country
26031,Cheboygan,NMRE,North Country
26033,Chippewa,Northcare,Hiawatha
26035,Clare,MSHN,Central Michigan
26037,Clinton,MSHN,CEI
26039,Crawford,NMRE,Northern Lakes
26041,Delta,Northcare,Pathways
26043,Dickinson,Northcare,Northpointe
26045,Eaton,MSHN,CEI
26047,Emmet,NMRE,North Country
26049,Genesee,Region10,Genesee
26051,Gladwin,MSHN,Central Michigan
26053,Gogebic,Northcare,Gogebic
26055,Grand Traverse,NMRE,Northern Lakes
26057,Gratiot,MSHN,Gratiot
26059,Hillsdale,MSHN,Lifeways
26061,Houghton,Northcare,Copper Country
26063,Huron,MSHN,Huron
26065,Ingham,MSHN,CEI
26067,Ionia,MSHN,Ionia
26069,Iosco,NMRE,AuSable Valley
26071,Iron,Northcare,Northpointe
26073,Isabella,MSHN,Central Michigan
26075,Jackson,MSHN,Lifeways
26077,Kalamazoo,SWMBH,Kalamazoo
26079,Kalkaska,NMRE,North Country
26081,Kent,LRE,Network180
26083,Keweenaw,Northcare,Copper Country
26085,Lake,LRE,West Michigan
26087,Lapeer,Region10,Lapeer
26089,Leelanau,NMRE,Northern Lakes
26091,Lenawee,CMHPSM,Lenawee
26093,Livingston,CMHPSM,Livingston
26095,Luce,Northcare,Pathways
26097,Mackinac,Northcare,Hiawatha
26099,Macomb,MCMHS,Macomb
26101,Manistee,NMRE,Manistee-Benzie
26103,Marquette,Northcare,Pathways
26105,Mason,LRE,West Michigan
26107,Mecosta,MSHN,Central Michigan
26109,Menominee,Northcare,Northpointe
26111,Midland,MSHN,Central Michigan
26113,Missaukee,NMRE,Northern Lakes
26115,Monroe,CMHPSM,Monroe
26117,Montcalm,MSHN,Montcalm
26119,Montmorency,NMRE,Northeast Michigan
26121,Muskegon,LRE,Muskegon
26123,Newaygo,MSHN,Newaygo
26125,Oakland,OCCMHA,Oakland
26127,Oceana,LRE,West Michigan
26129,Ogemaw,NMRE,AuSable Valley
26131,Ontonagon,Northcare,Copper Country
26133,Osceola,MSHN,Central Michigan
26135,Oscoda,NMRE,AuSable Valley
26137,Otsego,NMRE,North Country
26139,Ottawa,LRE,Ottawa
26141,Presque Isle,NMRE,Northeast Michigan
26143,Roscommon,NMRE,Northern Lakes
26145,Saginaw,MSHN,Saginaw
26147,Saint Clair,Region10,Saint Clair
26149,Saint Joseph,SWMBH,Saint Joseph
26151,Sanilac,Region10,Sanilac
26153,Schoolcraft,Northcare,Hiawatha
26155,Shiawassee,MSHN,Shiawassee
26157,Tuscola,MSHN,Tuscola
26159,Van Buren,SWMBH,Van Buren
26161,Washtenaw,CMHPSM,Washtenaw
26163,Wayne,DWMHA,Detroit-Wayne
26165,Wexford,NMRE,Northern Lakes
